days,count
1214092800,2
1219449600,2
1226793600,3
1229040000,3
1231286400,1
1240358400,2
1241740800,2
1241913600,2
1242000000,3
1242172800,2
1242777600,1
1244419200,2
1245801600,1
1252972800,1
1253664000,1
1253836800,2
1256083200,1
1256601600,1
1257984000,1
1258156800,1
1258243200,1
1258329600,1
1259107200,1
1260144000,3
1260230400,1
1260316800,4
1260403200,1
1260748800,1
1260835200,2
1261180800,1
1261267200,2
1261440000,1
1262476800,1
1262563200,1
1262822400,2
1263081600,1
1263254400,1
1263340800,1
1263427200,1
1263600000,1
1263686400,2
1263772800,1
1264032000,2
1264118400,1
1264291200,2
1264723200,2
1264809600,1
1264896000,3
1265068800,4
1265155200,1
1265414400,2
1265500800,3
1265587200,2
1265760000,1
1265846400,1
1266019200,1
1266105600,5
1266537600,1
1266624000,1
1266710400,2
1266969600,1
1267056000,1
1267142400,2
1267315200,4
1267401600,2
1267488000,1
1267574400,1
1267660800,2
1267747200,2
1267833600,1
1267920000,2
1268006400,2
1268092800,3
1268179200,2
1268524800,1
1268611200,9
1268697600,4
1268784000,8
1268870400,4
1269043200,3
1269129600,2
1269216000,2
1269475200,1
1269648000,2
1269734400,4
1269820800,2
1270166400,5
1270339200,1
1270425600,1
1271548800,2
1271808000,2
1271894400,4
1273190400,4
1273276800,2
1273708800,2
1273881600,2
1274400000,1
1274832000,2
1274918400,2
1275004800,11
1275091200,2
1275177600,4
1275264000,8
1275350400,3
1275436800,2
1275523200,2
1275696000,10
1275782400,6
1275868800,1
1276214400,12
1276300800,18
1276387200,9
1278028800,1
1278374400,3
1279670400,6
1279756800,3
1279843200,4
1280361600,1
1280620800,1
1280880000,1
1280966400,2
1281052800,8
1281139200,2
1281225600,3
1281398400,1
1281484800,1
1281571200,2
1281744000,1
1281916800,4
1282003200,3
1282521600,2
1282953600,3
1284249600,2
1284508800,1
1284595200,1
1284854400,2
1284940800,2
1285027200,1
1287532800,2
1287792000,7
1287964800,1
1288051200,3
1288137600,1
1288396800,7
1288483200,5
1288569600,7
1288656000,3
1289088000,3
1290038400,2
1291680000,3
1292198400,1
1294012800,2
1294099200,2
1294185600,6
1294272000,8
1294358400,1
1294531200,4
1294617600,3
1294704000,2
1294876800,2
1294963200,1
1295049600,3
1295136000,2
1295308800,2
1296086400,6
1296172800,6
1296259200,4
1296345600,1
1296432000,1
1296518400,2
1296604800,2
1296777600,1
1296950400,3
1297123200,1
1297468800,1
1297555200,5
1297641600,1
1297814400,2
1298073600,1
1298160000,7
1298246400,2
1298332800,3
1298592000,2
1299110400,1
1299196800,1
1299283200,1
1299369600,3
1299542400,3
1299715200,1
1299888000,1
1300060800,1
1300406400,1
1300838400,2
1300924800,3
1301011200,2
1301097600,1
1301270400,1
1301529600,4
1301616000,1
1301788800,6
1301875200,6
1302048000,4
1302220800,1
1302393600,1
1302480000,3
1302912000,1
1302998400,1
1303084800,2
1303257600,1
1303344000,2
1303430400,2
1303516800,7
1303603200,2
1303689600,1
1303776000,1
1304035200,4
1304121600,1
1304208000,5
1304294400,1
1304726400,2
1304812800,3
1304899200,3
1305244800,4
1305331200,5
1305417600,3
1305590400,5
1305763200,1
1305849600,1
1305936000,1
1306022400,9
1306108800,1
1306800000,3
1306972800,1
1307059200,1
1307145600,4
1307232000,2
1307318400,1
1307404800,1
1307577600,1
1307664000,4
1307750400,5
1307836800,1
1307923200,3
1308009600,1
1308096000,5
1308182400,4
1308441600,6
1308528000,6
1309046400,5
1309132800,2
1309305600,1
1309651200,2
1309996800,1
1310083200,1
1310256000,2
1310342400,1
1310774400,1
1310947200,1
1311120000,1
1311206400,2
1311292800,9
1311379200,2
1311465600,10
1311552000,10
1311724800,11
1311811200,1
1311897600,5
1311984000,10
1312070400,3
1312156800,2
1312243200,2
1312329600,1
1312416000,4
1312675200,3
1312761600,1
1312848000,2
1312934400,2
1313020800,2
1313366400,4
1313452800,5
1313625600,3
1313712000,4
1313798400,1
1314230400,1
1314489600,5
1315094400,5
1315526400,1
1315612800,1
1316390400,2
1316476800,11
1316736000,3
1316822400,8
1316908800,1
1316995200,2
1317081600,1
1317686400,1
1317772800,1
1317945600,8
1318032000,1
1318118400,1
1318204800,1
1318377600,2
1318464000,1
1318896000,2
1319068800,2
1319155200,4
1319241600,5
1319328000,4
1319500800,1
1319587200,1
1319673600,5
1319760000,1
1319846400,2
1319932800,5
1320019200,1
1320105600,2
1320192000,6
1320278400,1
1320364800,8
1320451200,1
1320537600,3
1320624000,1
1320710400,2
1320796800,1
1320883200,4
1321056000,4
1321228800,2
1321315200,4
1321488000,3
1321574400,3
1321660800,4
1321747200,3
1321833600,1
1321920000,2
1322092800,3
1322179200,10
1322265600,3
1322352000,3
1322438400,1
1322524800,15
1322611200,8
1322697600,6
1322870400,2
1322956800,3
1323043200,1
1323129600,4
1323302400,1
1323388800,2
1323475200,1
1323561600,3
1323648000,9
1323734400,3
1324080000,2
1324166400,11
1324252800,1
1324425600,4
1324512000,6
1324598400,2
1324684800,2
1324771200,3
1324944000,11
1325116800,4
1325203200,9
1325289600,14
1325376000,1
1325462400,8
1325548800,2
1325635200,1
1325721600,1
1325894400,3
1325980800,7
1326067200,1
1326153600,1
1326240000,1
1326326400,7
1326412800,7
1326499200,2
1326585600,22
1326672000,2
1326758400,3
1327104000,4
1327190400,13
1327276800,1
1327622400,2
1327708800,5
1327795200,13
1327881600,1
1328054400,2
1328140800,1
1328227200,1
1328313600,2
1328400000,12
1328486400,7
1328659200,4
1328745600,6
1328832000,1
1328918400,7
1329004800,16
1329091200,6
1329350400,1
1329436800,7
1329523200,3
1329609600,3
1329696000,4
1329782400,1
1330041600,4
1330128000,2
1330387200,3
1330819200,1
1331337600,4
1331424000,2
1331510400,1
1331596800,1
1331683200,6
1331769600,2
1331856000,3
1331942400,3
1332028800,3
1332115200,5
1332201600,3
1332288000,2
1332374400,7
1332460800,3
1332633600,1
1332720000,8
1332892800,3
1333065600,3
1333152000,4
1333238400,8
1333411200,1
1333497600,2
1333584000,6
1333670400,8
1333756800,4
1333843200,3
1333929600,3
1334016000,4
1334102400,2
1334188800,2
1334275200,4
1334361600,6
1334448000,5
1334534400,4
1334620800,1
1334707200,3
1334793600,1
1334880000,4
1334966400,6
1335225600,1
1335312000,3
1335657600,2
1335830400,2
1336003200,5
1336089600,5
1336176000,7
1336262400,8
1336348800,1
1336435200,2
1336521600,7
1336608000,4
1336694400,2
1336780800,10
1336867200,7
1337126400,8
1337212800,3
1337299200,4
1337472000,7
1337558400,1
1337644800,3
1337731200,1
1337904000,1
1337990400,2
1338076800,13
1338163200,5
1338336000,11
1338422400,1
1338595200,8
1338681600,7
1338768000,4
1338940800,4
1339027200,1
1339200000,1
1339286400,2
1339372800,1
1339459200,4
1339545600,2
1339632000,3
1339718400,1
1339804800,1
1339891200,1
1339977600,3
1340064000,9
1340150400,2
