bins,counts,Run
-0.0025,0,R10852
0.0025,31,R10852
0.0075,12,R10852
0.0125,17,R10852
0.0175,12,R10852
0.0225,8,R10852
0.0275,67,R10852
0.0325,4,R10852
0.0375,2,R10852
0.0425,4,R10852
0.0475,9,R10852
0.0525,13,R10852
0.0575,18,R10852
0.0625,19,R10852
0.0675,14,R10852
0.0725,7,R10852
0.0775,15,R10852
0.0825,8,R10852
0.0875,17,R10852
0.0925,16,R10852
0.0975,13,R10852
0.1025,13,R10852
0.1075,9,R10852
0.1125,17,R10852
0.1175,25,R10852
0.1225,24,R10852
0.1275,28,R10852
0.1325,28,R10852
0.1375,28,R10852
0.1425,33,R10852
0.1475,31,R10852
0.1525,41,R10852
0.1575,53,R10852
0.1625,32,R10852
0.1675,54,R10852
0.1725,28,R10852
0.1775,36,R10852
0.1825,34,R10852
0.1875,50,R10852
0.1925,32,R10852
0.1975,45,R10852
0.2025,47,R10852
0.2075,37,R10852
0.2125,44,R10852
0.2175,44,R10852
0.2225,44,R10852
0.2275,53,R10852
0.2325,53,R10852
0.2375,73,R10852
0.2425,65,R10852
0.2475,89,R10852
0.2525,67,R10852
0.2575,72,R10852
0.2625,95,R10852
0.2675,85,R10852
0.2725,92,R10852
0.2775,108,R10852
0.2825,104,R10852
0.2875,89,R10852
0.2925,109,R10852
0.2975,99,R10852
0.3025,98,R10852
0.3075,100,R10852
0.3125,125,R10852
0.3175,117,R10852
0.3225,111,R10852
0.3275,114,R10852
0.3325,138,R10852
0.3375,143,R10852
0.3425,144,R10852
0.3475,151,R10852
0.3525,161,R10852
0.3575,159,R10852
0.3625,159,R10852
0.3675,174,R10852
0.3725,219,R10852
0.3775,212,R10852
0.3825,197,R10852
0.3875,201,R10852
0.3925,211,R10852
0.3975,212,R10852
0.4025,234,R10852
0.4075,241,R10852
0.4125,227,R10852
0.4175,235,R10852
0.4225,311,R10852
0.4275,271,R10852
0.4325,284,R10852
0.4375,313,R10852
0.4425,299,R10852
0.4475,319,R10852
