pos_y,ecc,hits,rms_trans,pos_x
12.38,1.902,10,0.7306,10.77
8.365,2.785,90,1.197,5.12
4.933,3.383,195,0.9028,5.758
4.18,7.236,56,0.4321,4.021
8.453,2.532,116,1.023,8.94
6.792,4.902,56,0.7344,4.263
3.913,4.051,85,0.6503,4.463
9.822,4.118,123,0.6495,6.685
9.711,5.866,88,0.5945,7.364
8.295,5.048,130,0.5096,3.786
1.202,3.497,81,0.4925,4.848
8.999,2.453,87,1.109,9.134
12.01,4.304,81,0.6588,8.189
7.217,6.577,139,0.6204,2.87
10.93,2.415,322,1.024,6.912
10.26,1.862,580,0.9358,3.054
12.75,3.915,8,0.1953,11.36
12.64,4.967,31,0.4838,9.431
2.153,3.906,77,0.8568,6.832
11.41,5.376,208,0.6987,3.981
8.276,6.636,197,0.6642,7.672
8.431,5.899,138,0.7118,9.916
8.331,3.972,166,0.7317,5.8
2.34,3.375,139,0.8237,8.531
10.24,4.754,151,0.7986,7.885
6.061,3.298,628,1.101,10.45
10.11,3.088,117,1.061,8.34
5.025,3.092,83,0.919,2.086
2.631,1.416,264,1.196,4.846
7.933,2.337,100,1.153,6.575
12.31,2.085,21,0.904,10.49
1.508,1.895,35,0.5312,12.55
9.883,4.203,226,0.9246,9.739
4.096,10.21,120,0.4459,8.061
11.1,1.563,123,1.042,10.25
12.21,1.762,61,0.3623,12.08
7.071,13.7,71,0.3086,6.447
2.572,2.558,55,1.41,8.428
11.77,2.094,16,0.3459,1.702
6.973,5.227,90,0.6498,7.026
4.702,3.987,181,0.8554,4.693
9.06,3.814,120,0.9299,6.335
4.848,5.988,135,0.5775,2.674
7.476,1.124,1879,3.925,7.75
7.235,4.696,254,0.9426,6.426
8.244,5.731,103,0.7385,5.993
6.716,4.085,89,0.8759,7.462
2.934,1.093,732,1.102,3.4
1.09,6.576,22,0.3387,9.508
9.133,4.535,74,0.748,7.101
5.453,1.865,1138,1.26,10.21
5.99,3.25,351,0.6655,6.196
2.249,2.143,31,0.8758,11.04
2.519,7.902,389,0.4995,4.483
11.02,4.292,154,0.8811,5.445
8.067,4.425,194,0.9257,8.262
10.96,6.173,304,0.5665,6.818
7.782,1.451,172,2.769,6.455
10.8,1.639,16,0.8782,2.035
5.496,4.739,344,0.854,6.692
10.2,5.37,588,0.6375,9.961
3.762,2.687,37,0.3481,12.17
4.018,4.406,293,0.6022,10.77
3.295,2.187,75,1.054,3.622
7.019,2.722,256,1.253,3.256
5.366,3.883,168,0.815,4.442
6.918,7.305,168,0.442,8.081
1.766,1.411,10,0.3431,12.72
6.691,1.482,3023,1.924,8.913
2.584,4.781,202,0.5865,6.089
7.453,7.918,254,0.4948,5.034
7.319,2.64,30,1.103,4.79
2.569,1.18,651,1.018,2.98
12.6,1.411,56,0.2813,7.332
1.561,27.72,9,0.02956,10.68
2.935,4.619,124,0.7347,9.325
3.966,1.679,1389,1.464,7.928
3.7,4.206,94,0.9458,7.685
11.2,2.4,128,0.8691,8.694
7.691,4.388,278,0.822,12.27
2.64,3.755,107,0.737,9.06
2.066,6.075,53,0.3834,3.34
4.233,4.712,430,0.8362,6.963
10.76,2.302,60,0.8477,3.093
1.252,6.23,26,0.5713,7.637
6.074,3.35,231,1.057,4.936
7.238,2.991,175,0.9982,7.57
3.734,3.562,46,0.6992,3.823
1.272,1.979,11,0.4379,11.76
5.178,6.133,177,0.5341,5.888
10.98,4.473,9,0.3242,7.99
5.718,4.248,405,0.6341,7.929
2.764,1.34,178,0.985,7.691
0.893,7.815,38,0.2996,9.039
5.252,4.202,145,0.8357,11.52
9.548,1.738,119,1.23,3.9
1.613,4.009,72,0.7472,8.276
2.137,1.604,80,0.8371,4.067
0.9625,1.934,7,0.3121,11.24
8.615,2.627,383,1.07,7.573
7.02,5.007,305,0.6083,6.543
5.798,4.63,75,0.5938,3.71
2.777,5.641,75,0.6673,7.583
1.352,1.247,60,0.5569,12.37
5.156,3.049,67,0.7681,11.57
12.6,8.173,26,0.4668,7.129
2.361,3.368,117,0.9135,5.718
1.596,2.242,39,0.3674,2.146
10.66,1.911,86,1.293,10.12
7.835,2.037,445,1.486,7.565
3.568,9.718,137,0.4358,8.344
2.144,2.085,38,0.6217,2.371
12.16,1.817,49,0.5193,2.57
4.796,2.723,271,0.857,7.576
6.78,2.103,269,1.404,10.49
6.594,1.576,38,0.7669,2.155
11.52,3.397,24,0.3181,12.4
1.834,3.236,13,0.5537,10.5
4.442,1.932,11,0.3893,12.61
3.04,11.98,103,0.2699,5.093
5.523,1.86,469,2.099,6.483
4.016,3.257,203,1.075,6.332
6.889,1.686,79,1.673,9.041
6.641,5.392,120,0.6661,8.101
12.62,1.434,77,0.5748,7.53
5.496,2.566,224,1.495,5.989
11.14,5.662,73,0.4238,8.256
10.17,3.359,20,0.6817,12.35
5.673,5.899,109,0.814,8.239
11.18,3.375,126,0.9519,6.996
8.11,9.687,140,0.369,6.501
1.088,2.166,7,0.3748,9.66
5.312,1.397,93,1.051,2.578
6.771,4.698,191,0.812,9.142
8.769,1.562,407,1.121,4.591
7.653,4.233,133,0.9054,7.977
11.74,2.635,10,0.6284,6.732
6.479,7.169,55,0.3643,2.915
2.604,5.268,86,0.8279,7.701
6.422,4.662,220,0.2528,1.009
1.224,4.88,49,0.4882,10.14
4.435,3.295,116,1.105,7.844
10.55,2.066,210,1.046,8.759
11.24,1.742,77,0.6923,12.2
3.224,2.661,50,0.9789,9.937
12,2.261,6,0.3032,3.795
8.919,5.423,153,0.6514,4.928
2.264,6.918,112,0.4727,7.163
6.325,3.846,32,0.354,3.016
10.18,2.081,95,0.9062,4.756
8.782,3.721,65,0.771,2.648
11.41,16.33,6,0.02499,0.99
1.201,13.29,12,0.128,4.125
8.915,4.513,60,0.3336,10.54
3.851,3.466,133,0.9848,6.398
1.391,2.552,23,0.6188,3.504
12.01,5.759,85,0.4994,7.687
1.212,3.044,63,0.6122,2.571
1.295,1.574,19,0.5222,12.21
9.293,3.787,83,0.9871,8.348
10.84,2.749,428,0.7571,9.393
8.671,4.215,179,0.908,6.816
7.91,11.67,170,0.3452,8.564
11.46,4.468,23,0.2998,1.338
7.494,1.088,684,3.95,7.963
12.45,4.773,10,0.3294,11.76
7.72,1.588,53,0.7982,12.29
10.94,3.344,17,0.4184,12.1
12.33,3.162,26,0.2866,1.834
11.63,2.802,4095,1.441,7.479
1.952,2.019,11,0.7295,2.723
2.469,9.898,78,0.3864,7.216
12.57,4.726,11,0.2876,11.91
2.218,3.764,146,0.8169,6.097
2.3,1.94,71,0.7732,11.87
7.019,1.802,180,0.273,12.79
5.877,1.313,49,1.175,11.04
7.543,15.02,178,0.2291,5.738
12.64,1.188,8,0.3718,12.35
5.775,3.49,502,0.5448,7.483
12.18,3.786,103,0.491,11.29
2.606,2.906,17,0.5077,3.386
4.548,3.845,179,0.9468,7.051
12.49,2.619,901,0.3111,4.117
2.107,2.041,68,0.7625,10.87
4.143,3.367,148,0.9026,10.59
5.892,7.319,84,0.3699,11.79
12.18,4.722,61,0.6819,7.891
11.08,1.727,11,0.6939,12.51
1.335,2.756,53,0.3737,11.84
3.011,2.147,150,0.8317,3.191
7.451,4.866,94,0.9246,8.075
7.837,2.061,225,0.7953,5.482
12.31,1.5,24,0.9232,9.746
3.441,3.506,17,0.5603,11.73
2.561,1.653,55,0.9623,2.982
